8,Internal testing title,Internal testing title,,2016-03-16 19:05:27.825077,13,Pending,\N,Essential,0,2016-03-16,22
9,new test project4,new test project4,,2016-03-16 19:06:05.746811,491,Pending,\N,Essential,0,2016-03-16,66
2,Marketplace for designers,It's going to be an online marketplace\, targeted towards content marketers.,Preference will be given to ".com" domain names.,2016-03-05 18:58:53.371008,7,Pending,\N,Essential,0,2016-03-05,50
5,Test project (internal),test,,2016-03-10 22:48:04.235297,7,Pending,\N,Essential,0,2016-03-10,25
6,Test project (internal) 2,test project,,2016-03-10 22:49:29.569691,425,Pending,\N,Extra,0,2016-03-10,80
3,Marketplace for designers,It's going to be an online marketplace\, targeted towards content marketers.\r\n\r\nThose marketers will provide their content (like the text for a blog post)\, specify how many images they need\, and describe the images they're looking for.\r\n\r\nA qualified graphic designer will be assigned to produce the pictures with a quick turnaround time.,Preference will be given to ".com" domain names.,2016-03-05 19:15:55.39686,7,Closed,designmypost.com,Essential,687,2016-03-05,50
7,Ecommerce site for hobbies,This site is going to sell different types of hobby packages.\r\n\r\nEach package will contain learning/practice resources that should take the customer about a month to go through on average.,Any words or sounds that make customers think of learning as fun would be great. Be creative!,2016-03-12 16:45:09.866397,7,Live,\N,Essential,182,2016-03-12,40
11,tours,Tours around the world\r\n,Travel \r\n,2016-03-18 06:20:31.287936,497,Pending,\N,Essential,0,2016-03-18,80
12,construction company,the business will be created for buildings and roadways construction ,,2016-03-18 23:45:39.108291,501,Pending,\N,Essential,0,2016-03-18,40
13,Pet Company,Our Ecommerce site will feature dog & cat products such as food\, treats\, medicines\, leashes\, harnesses\, collars\, etc. Please stand out. We are trying to create a lasting brand. www.chewy.com is a good reference ,I am looking for a shorter business name. 2 syllables. Customer is someone who doesnt mind spending a little extra money on their pets. First class consumers. First class products. ,2016-03-21 05:56:20.524296,506,Live,\N,Extra,16,2016-03-21,80
10,An Social Website/App for scanning food products for allergens/diets,You will be able with the app setup which allergens and diets(vegan\, vegetarian and so on) you have.\r\nYou will be able to check your friends allergens/diets and filter with then when you scan products.,I want something that's easy to say (short if possible).\r\n.com is preferred but if there you have a clever use of other domains that please do.\r\n\r\nI would prefer that you don't include scanning in the name unless it's a super clever way.,2016-03-17 08:57:12.548121,492,Live,\N,Essential,95,2016-03-17,30
14,MOHAVE,MOHAVE MOHAVE MOHAVE,MOHAVE MOHAVE MOHAVE,2016-03-21 11:18:19.243763,508,Pending,\N,Essential,0,2016-03-21,40
